station,pH,TOC,TN,TP,C:N,N:P,WC,Bulk,elevation,Height,Cover,Biomass,ATN,ATP,AN.P,UTN,UTP,UN.P,Compounds
G-1,6.636666667,22.8,2.773333333,1.403333333,8.403499405,1.974623117,12.61666667,1.222203043,4021,6.33,26.67,83.6,43.84,9.95,4.46,26.79,4.45,6.02,2.213841326
G-10,6.963333333,30.61666667,4.756666667,1.383333333,6.4439007,3.452170012,17.69666667,1.114298105,3733,19.33,78.33,100.93,34.74,5.68,6.44,22.4,3.94,5.61,2.886638854
G-11,6.94,44.18666667,5.93,1.513333333,7.472452306,3.915906748,18.84666667,0.807802084,3742,15,73.33,117.93,35.51,5.44,6.62,19.82,3.88,5.1,5.753982545
G-12,7.053333333,30.37666667,3.963333333,1.57,7.608997971,2.532711299,17.35333333,1.173248818,3732,14,83.33,102.93,48.73,9.27,5.31,16.28,4.76,3.49,3.128125603
G-13,6.886666667,69.34,8.66,2.066666667,8.177081473,4.199762564,33.96666667,0.683739837,3722,21,100,179.6,57.77,10.45,5.65,24.04,4.88,4.93,-1.424643146
G-14,7.02,34.99333333,4.75,1.48,7.368994934,3.97274123,18.90666667,1.031379284,3717,38.33,90,176.27,28.64,8.59,3.37,21.82,6.26,3.62,0.695778727
G-15,7.036666667,40.54,5.753333333,1.483333333,7.112530911,3.878266164,21.38333333,0.888131884,3753,8,58.33,132.93,40.33,8.74,4.61,22.03,4.26,5.21,3.329924604
G-16,7.18,24.97333333,4.44,1.293333333,5.628715369,3.481613379,13.90666667,1.136583388,3747,26,55,99.6,31.35,8.27,3.78,16.5,3.86,9.98,-2.096818264
G-19,7.136666667,17.28333333,3.346666667,1.386666667,5.375271735,2.423164212,18.55,1.262309664,4089,2.67,92.67,24.6,44.8,7.76,5.79,17.44,3.28,5.4,1.063655807
G-2,6.726666667,54.1,7.42,1.426666667,7.35035526,5.191642508,26.38666667,0.719922995,4087,24.33,51.67,102.93,32.95,10.6,3.11,19.63,6.86,2.88,-4.304251631
G-20,7.2,24.55333333,3.543333333,1.586666667,6.929317047,2.245587559,10.19333333,1.34013831,4066,4,61.67,67.27,50.1,10.26,4.92,22.65,4.4,5.23,1.855648449
G-21,7.133333333,21.34,2.75,1.256666667,7.937011377,2.198112574,15.26,1.266903501,4129,4.67,100,107.93,45.31,10.28,4.42,17.32,3.46,4.97,4.162665365
G-22,6.836666667,37.97333333,4.986666667,1.553333333,7.714946741,3.211592907,31.23666667,0.922158073,4109,3.67,40,49.6,45.4,13.32,3.92,22.82,3.63,6.26,0.147627658
G-23,6.936666667,15.02666667,2.223333333,1.24,7.009540492,1.776393086,19.16666667,1.028997329,4101,30,73.33,236.27,27.07,10.35,2.66,15.05,3.94,3.82,2.011488595
G-24,6.723333333,20.59333333,2.6,1.29,7.935761172,2.015758825,22.36333333,1.140525056,4111,2.67,28.33,89.6,35.42,6.7,5.28,38.84,3.72,10.44,5.989300152
G-25,6.946666667,19.74,2.126666667,1.03,9.296610537,2.08599651,15.78333333,1.261317386,4026,7,43.33,34.93,45.99,12.69,3.64,24.17,5.47,4.52,0.058886557
G-3,6.746666667,25.12,3.28,1.296666667,7.799028605,2.517198583,16.08666667,1.34464597,3995,8.33,67.67,44.93,43.41,10.38,4.23,19.43,3.79,5.19,-8.444749601
G-4,6.75,23.51333333,3.316666667,1.44,7.590200505,2.292557555,16.09666667,0.806682499,3995,35,47.67,352.93,30.18,12.9,2.34,22.82,4.88,4.71,2.335164731
G-5,6.736666667,29.74333333,3.93,1.52,7.574916841,2.589096479,22.8,1.075038108,3950,15.67,80,96.27,34.39,7.16,4.91,18.22,4.26,4.3,4.117638712
G-6,6.883333333,23.88333333,3.466666667,1.43,6.91724788,2.425484812,19.9,1.133643186,3942,28.33,73.33,117.93,37.59,14.32,2.63,18.29,4.31,4.26,2.591769126
G-7,6.686666667,37.54666667,4.9,1.483333333,7.692506783,3.303204039,23.63,0.938530033,3925,15,31.67,189.6,37.81,9.23,4.25,27.42,4.47,6.21,3.387444982
G-8,6.736666667,37.23666667,4.85,1.636666667,7.692319823,2.96425555,23.19,1.048244931,3902,50,99.33,334.6,40.04,10.42,3.85,23.86,4.61,5.23,5.692159778
G-9,6.843333333,23.08333333,3.416666667,1.42,6.763226388,2.409530119,20.94,1.166024424,3902,23.67,36.67,222.93,40.96,7.78,5.25,22.8,4.28,5.52,4.794108016
M-1,6.616666667,164.6466667,13.47444445,2.132222222,12.59259235,6.339328254,60.56444445,0.515618745,3508,10.67,70,133.5,27.3,7.87,3.48,15,2.17,6.93,-3.507901583
M-10,6.663333333,57.81,8.163333333,1.363333333,7.440451858,5.950020113,26.97666667,0.662600873,3435,4.33,28.33,132.93,29.24,3.8,7.83,16.56,2.01,8.31,-5.782349979
M-11,6.883333333,69.95,7.253333333,1.343333333,9.721534574,5.378603106,30.17333333,0.653220189,3429,6,70,84.6,19.86,2.49,8.04,10.42,1.77,6,-1.659019557
M-12,7.07,46.38666667,5.953333333,1.15,7.824383165,5.209425806,24.23,0.893533503,3419,22.33,94.33,400.6,28.3,2.89,9.79,13.01,1.55,8.45,2.155960617
M-13,7.133333333,39.41333333,5.55,1.276666667,7.304481324,4.354942691,22.83666667,1.05580619,3431,7,88.33,62.93,24.15,3.28,7.39,10.96,1.54,6.96,-1.70936903
M-2,6.93,158.0466667,12.61666667,2.23,12.57442797,5.664913202,56.12666667,0.482449075,3508,10.33,96,132.6,20.58,3.55,5.88,12.96,2.31,5.72,-3.93971437
M-3,6.963333333,99.62333333,7.483333333,1.903333333,12.01387143,4.157227771,39.32,0.766108367,3517,10.67,96.67,129.27,29.01,4.81,6.05,10.58,2.05,5.13,-3.339151462
M-4,6.916666667,51.95,6.25,1.783333333,8.320962804,3.507820601,29.11,0.988874687,3514,4,58.33,40.93,26.97,5.88,4.6,13.71,2.62,5.23,-3.34377832
M-5,6.83,75.79666667,8.533333333,2.27,8.927737471,3.803272721,31.98333333,0.509331916,3534,7.67,78.67,139.93,20.46,4.32,4.75,13.69,2.47,5.55,-5.039003165
M-6,6.576666667,70.78,7.916666667,2.41,8.872347391,3.274976321,33.83666667,0.776005768,3587,16,91.33,132.27,22.73,4.97,4.57,11.64,2.83,4.11,-3.604164012
M-7,6.706666667,52.71666667,6.11,1.953333333,9.776416375,3.072517761,31.41,0.701176518,3538,14.33,82.33,120.6,22.43,4.89,4.78,7.35,2.01,3.6,2.768316681
M-8,6.553333333,133.6566667,14.64666667,2.22,9.165485487,6.597424281,63.2,0.579101639,3442,12,70,133.5,39.88,8.81,4.53,13.78,2.04,6.76,-3.357753483
M-9,6.366666667,202.2366667,13.16,1.946666667,16.03786359,6.755647278,62.36666667,0.48530552,3434,10.67,88.33,152.93,26.1,3.53,7.39,15.8,2.3,6.96,-9.587459283
